书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接
一句顶一万句,刘震云,长江文艺出版社,2009-3,29.80,8.8,"
                    100052
                ",一句胜过千年,https://book.douban.com/subject/3633461/
这些人，那些事,吴念真,译林出版社,2011-9,28.00元,8.8,"
                    69776
                ",平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯,王永年,上海译文出版社,2015-7,8.9,"
                    54425
                ",一个谜语，谜底正是时间,https://book.douban.com/subject/25796120/
大明王朝1566,刘和平,花城出版社,2016-7,88.00元,9.5,"
                    19261
                ",,https://book.douban.com/subject/26925171/
2001：太空漫游,[英] 阿瑟·克拉克,郝明义,上海文艺出版社,2019-4-10,9.3,"
                    25893
                ",,https://book.douban.com/subject/30471298/
绿毛水怪,王小波,时代文艺出版社,2009-1,30.00元,9.1,"
                    27239
                ",我们好象在池塘的水底，从一个月亮走向另一个月亮,https://book.douban.com/subject/3518332/
长日将尽,[英] 石黑一雄,冯涛,上海译文出版社,2018-5,8.9,"
                    43953
                ",,https://book.douban.com/subject/30142261/
安娜·卡列尼娜,[俄] 列夫·托尔斯泰,草婴,上海文艺出版社,2007-8,9.2,"
                    35276
                ",,https://book.douban.com/subject/2253380/
海的女儿,安徒生,叶君健,上海译文出版社,1978年6月,9.1,"
                    27786
                ",,https://book.douban.com/subject/1765512/
你当像鸟飞往你的山,塔拉·韦斯特弗,任爱红,南海出版公司,2019-10,8.7,"
                    218490
                ",我来自一个极少有人能想象的家庭，教育给了我新世界,https://book.douban.com/subject/33440205/
半生缘,张爱玲,北京十月文艺出版社,2012-6-1,29.60元,9.1,"
                    38274
                ",,https://book.douban.com/subject/10757938/
故事,[美] 罗伯特·麦基,周铁东,天津人民出版社,2014-9,9.2,"
                    21640
                ",材质、结构、风格和银幕剧作的原理,https://book.douban.com/subject/25976544/
阿勒泰的角落,李娟,万卷出版公司,2010-6,25.00元,9.1,"
                    24283
                ",白雪和阳光，青草和白桦林,https://book.douban.com/subject/4881850/
强风吹拂,三浦紫苑,林佩瑾,广西师范大学出版社,2015-1-1,9.0,"
                    33751
                ",明明这么痛苦，这么难过，为什么就是不能放弃跑步？,https://book.douban.com/subject/26210487/
经济学原理（上下）,[美] 曼昆,梁小民,机械工业出版社,2003-8,9.1,"
                    23694
                ",经济学家们的世界观,https://book.douban.com/subject/1028842/
鹿川有许多粪,李沧东,春喜,武汉大学出版社,2021-8,8.9,"
                    40875
                ",,https://book.douban.com/subject/35517022/
國史大綱（上下）,錢穆,商务印书馆,2013-8,76.00元,9.4,"
                    17527
                ",钱穆中国通史,https://book.douban.com/subject/1046492/
天朝的崩溃,茅海建,生活·读书·新知三联书店,2014-10,59.00元,9.4,"
                    17998
                ",,https://book.douban.com/subject/25935941/
万水千山走遍,三毛,哈尔滨出版社,2003-08,13.80,8.9,"
                    48580
                ",从遥远的撒哈拉到敦煌戈壁,https://book.douban.com/subject/1036490/
温柔的夜,三毛,北京十月文艺出版社,2007-5,28.00元,9.1,"
                    25246
                ",三毛在加纳利群岛的生活,https://book.douban.com/subject/2068249/
苏菲的世界,[挪] 乔斯坦·贾德,萧宝森,作家出版社,2007-10,8.8,"
                    63114
                ",哲学启蒙书,https://book.douban.com/subject/2284311/
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森,管延圻,中信出版社,2011-10-24,8.8,"
                    64375
                ",完美主义者的最高形态,https://book.douban.com/subject/6798611/
冰与火之歌,[美]乔治·R.R.马丁,谭光磊,重庆出版社,2013-10-1,9.5,"
                    21348
                ",乔治·R·R·马丁史诗奇幻小说,https://book.douban.com/subject/25826936/
一个陌生女人的来信,[奥] 斯蒂芬·茨威格,张玉书,上海译文出版社,2007-7,8.7,"
                    154357
                ",暗恋的极致,https://book.douban.com/subject/2154960/
全球通史,斯塔夫里阿诺斯,吴象婴,北京大学出版社,2012-2-1,9.0,"
                    25171
                ",,https://book.douban.com/subject/10583099/
东晋门阀政治,田余庆,北京大学出版社,2012-5,49.00元,9.5,"
                    17049
                ",,https://book.douban.com/subject/10758290/
生死疲劳,莫言,浙江文艺出版社,2021-11,69.90元,9.0,"
                    60588
                ",,https://book.douban.com/subject/35587028/
爱的艺术,[美] 艾·弗洛姆,李健鸣,上海译文出版社,2008-4,8.8,"
                    55481
                ",谦恭地、勇敢地、真诚地和有纪律地爱他人,https://book.douban.com/subject/3026879/
亮剑,都梁,解放军文艺出版社,2005-3,28.00元,9.0,"
                    33789
                ",面对强大的对手，明知不敌，也要毅然亮剑,https://book.douban.com/subject/1088022/
